commenter,responds_to,is_root_comment,post_id,created_utc,score
Yupi-Destiny,TimKa767,True,qey83c,1635111343.0,1
Enchilada_McMustang,TimKa767,True,qey83c,1635116956.0,1
Dear_Ad_3860,TimKa767,True,qey83c,1635121845.0,1
Fixitformethankyou,TimKa767,True,qey83c,1635122257.0,1
Gobeltik,TimKa767,True,qey83c,1635109880.0,0
Gobeltik,fant3k,False,qey83c,1635109969.0,4
ResearcherHawk446,Specific-Benefit,False,qey83c,1635113397.0,1
ResearcherHawk446,gmuslera,False,qey83c,1635113323.0,1
Specific-Benefit,Gobeltik,False,qey83c,1635112630.0,3
gmuslera,ResearcherHawk446,False,qey83c,1635118351.0,1
notzonan,ResearcherHawk446,True,qey2l1,1635104368.0,4
lito1515,ResearcherHawk446,True,qey2l1,1635116713.0,1
ResearcherHawk446,notzonan,False,qey2l1,1635112977.0,2
Loud-Geologist-5815,ThatwasGibberish,True,qexnc3,1635105284.0,10
geniowe2002,ThatwasGibberish,True,qexnc3,1635102592.0,5
Sicarius_Tacet,ThatwasGibberish,True,qexnc3,1635100339.0,11
SopaDoMacaco,ThatwasGibberish,True,qexnc3,1635107317.0,3
Akamaramas,ThatwasGibberish,True,qexnc3,1635103177.0,3
Zero-Byte,ThatwasGibberish,True,qexnc3,1635122395.0,1
Falubi,Loud-Geologist-5815,False,qexnc3,1635117790.0,1
Tulio_58,Sicarius_Tacet,False,qexnc3,1635110017.0,6
ripichipi25,Akamaramas,False,qexnc3,1635104136.0,3
Enchilada_McMustang,Akamaramas,False,qexnc3,1635110278.0,4
Dear_Ad_3860,Akamaramas,False,qexnc3,1635121530.0,1
UruGUY98,Enchilada_McMustang,False,qexnc3,1635117696.0,1
ideka,urymasa1970,True,qewp8n,1635106154.0,2
Gobeltik,urymasa1970,True,qewp8n,1635110301.0,1
Rain1984,ideka,False,qewp8n,1635106724.0,2
urymasa1970,urymasa1970,True,qets28,1635087585.0,4
AdmiralKeg,RecommendationNo33,True,qes75l,1635102162.0,10
averagelorplayer,RecommendationNo33,True,qes75l,1635098663.0,10
AdrianMesaUY,RecommendationNo33,True,qes75l,1635094827.0,16
terryheavy,RecommendationNo33,True,qes75l,1635112173.0,5
bot_canillita,RecommendationNo33,True,qes75l,1635082267.0,4
Good_Development,RecommendationNo33,True,qes75l,1635092489.0,14
VedicLight8,RecommendationNo33,True,qes75l,1635082830.0,24
RecommendationNo33,RecommendationNo33,True,qes75l,1635082263.0,16
Hurso81,RecommendationNo33,True,qes75l,1635093449.0,-9
Dear_Ad_3860,RecommendationNo33,True,qes75l,1635120284.0,1
Sicarius_Tacet,terryheavy,False,qes75l,1635115441.0,2
EmpanadaGalactica,Good_Development,False,qes75l,1635095660.0,-1
FX-32,VedicLight8,False,qes75l,1635088299.0,4
EmpanadaGalactica,VedicLight8,False,qes75l,1635095644.0,-11
EmpanadaGalactica,RecommendationNo33,False,qes75l,1635095603.0,-8
leojg,Hurso81,False,qes75l,1635101056.0,9
terryheavy,Sicarius_Tacet,False,qes75l,1635115607.0,2
MattKerplunk,EmpanadaGalactica,False,qes75l,1635098121.0,15
SVPPB,FX-32,False,qes75l,1635089866.0,19
dude_in_the_mansuit,FX-32,False,qes75l,1635092106.0,4
EmpanadaGalactica,FX-32,False,qes75l,1635095630.0,-12
MattKerplunk,EmpanadaGalactica,False,qes75l,1635097839.0,11
MattKerplunk,EmpanadaGalactica,False,qes75l,1635097917.0,17
AdmiralKeg,leojg,False,qes75l,1635102139.0,4
Hurso81,leojg,False,qes75l,1635102420.0,-7
juacom99,MattKerplunk,False,qes75l,1635103524.0,-12
MattKerplunk,SVPPB,False,qes75l,1635097811.0,11
leojg,Hurso81,False,qes75l,1635105321.0,6
SVPPB,juacom99,False,qes75l,1635105132.0,10
MattKerplunk,juacom99,False,qes75l,1635107416.0,10
dude_in_the_mansuit,MattKerplunk,False,qes75l,1635101102.0,6
Sicarius_Tacet,leojg,False,qes75l,1635115366.0,3
Nesamila,agusrofer,True,qeo2qa,1635084494.0,13
The-H007,agusrofer,True,qeo2qa,1635079064.0,3
stoner277,agusrofer,True,qeo2qa,1635116373.0,1
CalamarinoDanzante,Nesamila,False,qeo2qa,1635084753.0,4
empleadoEstatal,Nesamila,False,qeo2qa,1635097901.0,1
estoxzeroo,The-H007,False,qeo2qa,1635086403.0,2
Nesamila,CalamarinoDanzante,False,qeo2qa,1635085804.0,2
empleadoEstatal,Nesamila,False,qeo2qa,1635097933.0,1
CalamarinoDanzante,Nesamila,False,qeo2qa,1635086991.0,0
gbrunacci,Chiccko,True,qenkoj,1635093225.0,20
gmuslera,Chiccko,True,qenkoj,1635080251.0,48
juanwlcc,Chiccko,True,qenkoj,1635094158.0,10
Jakilove007,Chiccko,True,qenkoj,1635076664.0,10
Perkunas999,Chiccko,True,qenkoj,1635098647.0,7
tonterias,Chiccko,True,qenkoj,1635082291.0,2
lito1515,Chiccko,True,qenkoj,1635079179.0,-4
LibertarianBoy,Chiccko,True,qenkoj,1635095772.0,1
Toxe_98,Chiccko,True,qenkoj,1635089707.0,1
leojg,Chiccko,True,qenkoj,1635087916.0,-6
Narrow_Association43,Chiccko,True,qenkoj,1635117923.0,1
Syv_Fingre,Chiccko,True,qenkoj,1635090727.0,-2
LibertarianBoy,gbrunacci,False,qenkoj,1635095668.0,2
Agile-420,gbrunacci,False,qenkoj,1635118360.0,1
The-H007,Jakilove007,False,qenkoj,1635079228.0,11
MakZoz-25,tonterias,False,qenkoj,1635084020.0,10
joaomelofo,tonterias,False,qenkoj,1635083793.0,4
Fenris_uy,tonterias,False,qenkoj,1635087460.0,6
leandrogoe,lito1515,False,qenkoj,1635095701.0,9
yernidef,lito1515,False,qenkoj,1635093662.0,5
Y2kangz,LibertarianBoy,False,qenkoj,1635096189.0,6
invalidusernaem,Toxe_98,False,qenkoj,1635109538.0,3
Perkunas999,Syv_Fingre,False,qenkoj,1635095680.0,3
MakZoz-25,The-H007,False,qenkoj,1635083843.0,4
leojg,The-H007,False,qenkoj,1635088014.0,-14
lito1515,yernidef,False,qenkoj,1635095783.0,-5
LibertarianBoy,Y2kangz,False,qenkoj,1635097132.0,6
invalidusernaem,Y2kangz,False,qenkoj,1635109910.0,4
